text,label
मला हा चित्रपट खूप छान वाटला,positive
हा मोबाईल उत्कृष्ट आहे,positive
ही सेवा अतिशय समाधानकारक आहे,positive
माझा आजचा दिवस आनंददायी गेला,positive
हा अनुभव अविस्मरणीय होता,positive
मला तुमचे काम खूप आवडले,positive
ही जागा स्वच्छ आणि सुंदर आहे,positive
हा कार्यक्रम यशस्वी झाला,positive
मला खूप प्रेरणा मिळाली,positive
हे उत्पादन दर्जेदार आहे,positive
तुमची मदत उपयुक्त ठरली,positive
ही योजना फायदेशीर आहे,positive
मला येथे सुरक्षित वाटते,positive
हा कोर्स माहितीपूर्ण आहे,positive
हा निर्णय योग्य आहे,positive
मला तुमचा दृष्टिकोन आवडला,positive
ही कल्पना अभिनव आहे,positive
हा खेळ रोमांचक होता,positive
मला खूप समाधान मिळाले,positive
ही सुविधा चांगली आहे,positive
हा उपक्रम स्तुत्य आहे,positive
माझा अनुभव चांगला होता,positive
हा प्रोजेक्ट यशस्वी झाला,positive
मला हे ठिकाण खूप आवडले,positive
सेवा वेळेवर मिळाली,positive
हा दिवस खास होता,positive
मला तुमची टीम आवडली,positive
हे काम कौतुकास्पद आहे,positive
हा परिणाम समाधानकारक आहे,positive
मला येथे आनंद झाला,positive
हा निर्णय शहाणपणाचा आहे,positive
ही कल्पना उपयुक्त आहे,positive
माझा प्रवास सुखद होता,positive
हा कार्यक्रम उत्तम आयोजित केला होता,positive
मला ही संधी आवडली,positive
हे अन्न स्वादिष्ट आहे,positive
ही व्यवस्था उत्तम आहे,positive
मला तुमचा स्वभाव आवडतो,positive
हा अनुभव सकारात्मक होता,positive
ही सेवा विश्वासार्ह आहे,positive
मला तुमची प्रस्तुती आवडली,positive
हा चित्रपट अप्रतिम होता,positive
ही सुविधा उपयुक्त आहे,positive
मला येथे शांत वाटते,positive
हा उपक्रम यशस्वी झाला,positive
माझी निवड योग्य झाली,positive
ही संकल्पना चांगली आहे,positive
मला तुमचे मार्गदर्शन आवडले,positive
हा परिणाम प्रभावी आहे,positive
ही योजना उत्तम आहे,positive
मला खूप आनंद झाला,positive
हा मोबाईल वापरण्यास सोपा आहे,positive
ही सेवा जलद आहे,positive
माझा दिवस छान गेला,positive
हा अनुभव प्रेरणादायी होता,positive
मला तुमचा प्रयत्न आवडला,positive
ही जागा सुरक्षित आहे,positive
हा कार्यक्रम उत्कृष्ट होता,positive
मला तुमचे समर्थन मिळाले,positive
ही कल्पना रंजक आहे,positive
हा परिणाम चांगला आहे,positive
मला येथे समाधान मिळाले,positive
ही सेवा दर्जेदार आहे,positive
हा निर्णय फायदेशीर आहे,positive
मला तुमची मदत आवडली,positive
हा उपक्रम अभिनव आहे,positive
ही सुविधा आधुनिक आहे,positive
माझा अनुभव सुखद होता,positive
हा प्रोजेक्ट उत्कृष्ट झाला,positive
मला हे उत्पादन आवडले,positive
ही योजना यशस्वी आहे,positive
मला तुमची शैली आवडली,positive
हा परिणाम उत्साहवर्धक आहे,positive
ही सेवा समाधानकारक आहे,positive
मला येथे आनंददायी वाटले,positive
हा दिवस प्रेरणादायी होता,positive
ही संधी चांगली आहे,positive
मला तुमचे काम आवडते,positive
हा अनुभव खास होता,positive
ही कल्पना परिणामकारक आहे,positive
मला येथे छान वाटले,positive
ही सेवा व्यवस्थित आहे,positive
हा निर्णय सकारात्मक आहे,positive
मला तुमचा सल्ला आवडला,positive
हा उपक्रम उत्तम आहे,positive
ही जागा सुंदर आहे,positive
माझा दिवस आनंदात गेला,positive
हा परिणाम योग्य आहे,positive
मला तुमची मदत उपयुक्त वाटली,positive
ही सेवा उत्तम आहे,positive
हा कार्यक्रम खूप छान होता,positive
मला हे खूप आवडले,positive
ही सुविधा चांगल्या दर्जाची आहे,positive
हा अनुभव समाधानकारक होता,positive
मला तुमचा पाठिंबा मिळाला,positive
ही योजना प्रभावी आहे,positive
हा परिणाम आशादायी आहे,positive
मला येथे सुरक्षित वाटले,positive

हा चित्रपट खूप खराब होता,negative
ही सेवा अत्यंत वाईट आहे,negative
माझा दिवस निराशाजनक गेला,negative
हा अनुभव त्रासदायक होता,negative
मला तुमचे काम आवडले नाही,negative
ही जागा अस्वच्छ आहे,negative
हा कार्यक्रम फसला,negative
मला खूप राग आला,negative
हे उत्पादन निकृष्ट आहे,negative
तुमची मदत उपयोगाची नव्हती,negative
ही योजना तोट्याची आहे,negative
मला येथे असुरक्षित वाटते,negative
हा कोर्स निरुपयोगी आहे,negative
हा निर्णय चुकीचा आहे,negative
मला तुमचा दृष्टिकोन पटला नाही,negative
ही कल्पना निरर्थक आहे,negative
हा खेळ कंटाळवाणा होता,negative
मला खूप निराशा झाली,negative
ही सुविधा निकृष्ट आहे,negative
हा उपक्रम अयशस्वी झाला,negative
माझा अनुभव अत्यंत वाईट होता,negative
हा प्रोजेक्ट अपयशी ठरला,negative
मला हे ठिकाण आवडले नाही,negative
सेवा उशिरा मिळाली,negative
हा दिवस वाईट होता,negative
मला तुमची टीम आवडली नाही,negative
हे काम निकृष्ट आहे,negative
हा परिणाम निराशाजनक आहे,negative
मला येथे अस्वस्थ वाटले,negative
हा निर्णय घातक आहे,negative
ही कल्पना अयोग्य आहे,negative
माझा प्रवास त्रासदायक होता,negative
हा कार्यक्रम खराब आयोजित केला होता,negative
मला ही संधी आवडली नाही,negative
हे अन्न चवहीन आहे,negative
ही व्यवस्था गोंधळलेली आहे,negative
